,Actual,Predicted
181,38.54,38.53859999999998
233,43.02,43.03340000000007
405,27.49,27.468899999999973
1817,24.12,24.12049999999996
186,38.54,38.53859999999998
2109,31.92,31.919700000000038
1949,26.5,26.49879999999999
383,34.0,33.999400000000016
1990,31.92,31.919700000000038
1161,28.72,28.719099999999965
530,17.1,17.111499999999996
1435,47.21,47.177100000000046
831,5.06,5.0949999999999935
472,25.86,25.85919999999996
1291,33.49,33.49469999999996
2439,30.15,30.14330000000005
1127,23.43,23.431800000000038
1192,26.4,26.397300000000033
157,40.35,40.336700000000064
1893,23.25,23.249800000000015
2035,34.11,34.109100000000005
1776,22.92,22.91840000000003
2363,23.69,23.690200000000026
1220,34.37,34.38290000000007
554,12.45,12.438900000000023
1006,23.65,23.684900000000013
1445,45.47,45.45520000000001
374,36.63,36.62729999999996
1304,32.13,32.12270000000002
1054,30.53,30.53340000000005
1490,32.86,32.86649999999996
906,8.07,8.047199999999986
2148,35.28,35.29219999999999
701,16.35,16.33469999999997
3,47.22,47.221100000000014
2441,30.13,30.124800000000015
2436,32.17,32.16980000000004
1642,21.45,21.476400000000012
1667,22.3,22.304899999999993
2322,29.33,29.32229999999995
1861,22.64,22.620299999999943
283,37.69,37.68930000000002
620,10.17,10.191199999999995
2168,30.66,30.660699999999977
637,9.21,9.18540000000001
532,17.16,17.181600000000024
1429,45.96,45.962399999999924
1256,31.07,31.070800000000034
1254,31.14,31.136800000000004
2464,30.26,30.258500000000048
1608,26.91,26.909699999999997
298,37.26,37.24400000000007
1516,30.2,30.201899999999963
723,13.25,13.223700000000017
1984,32.61,32.6136
1485,33.6,33.59919999999996
741,17.25,17.254300000000004
2367,24.16,24.162200000000013
379,36.52,36.52079999999999
1066,31.87,31.874300000000044
1554,32.8,32.81020000000003
332,46.37,46.363699999999945
2024,27.65,27.650199999999973
1106,25.7,25.70700000000003
162,40.54,40.542200000000015
1298,32.3,32.277300000000025
1437,49.0,48.89909999999996
780,8.61,8.616300000000003
2456,29.75,29.730799999999963
197,35.18,35.18069999999996
1505,30.83,30.81680000000001
2342,26.34,26.336899999999986
255,41.84,41.83659999999999
1804,26.58,26.57350000000001
1089,32.13,32.12270000000002
446,31.05,31.05310000000004
160,41.47,41.47639999999994
1830,26.13,26.126900000000013
2256,29.13,29.12590000000003
2187,26.4,26.397300000000033
1305,31.8,31.79189999999997
1233,30.43,30.427899999999976
2292,22.95,22.94530000000001
904,8.74,8.729600000000005
898,8.35,8.353400000000008
310,41.53,41.52219999999995
2290,24.63,24.619000000000025
471,26.23,26.224999999999987
126,46.18,46.164100000000005
1517,29.82,29.819999999999997
372,34.16,34.165299999999974
1079,32.81,32.82110000000004
318,46.77,46.7589
1785,24.28,24.2498
2371,23.89,23.88970000000002
211,36.23,36.23089999999999
804,8.18,8.201499999999996
2038,34.22,34.20960000000002
1346,49.03,48.905799999999964
17,50.51,50.561900000000016
1334,43.54,43.5093
1658,21.95,21.94990000000002
481,23.12,23.116399999999956
2184,28.79,28.79019999999999
1803,27.35,27.353699999999968
1733,20.68,20.680400000000034
241,44.28,44.256300000000074
443,30.51,30.496100000000038
1565,32.59,32.59429999999997
1964,29.46,29.43029999999999
1628,23.93,23.921100000000035
1345,47.99,48.055300000000024
106,53.21,53.18819999999992
2416,26.6,26.599199999999975
2429,26.88,26.880500000000055
228,43.92,43.90300000000002
1425,43.03,43.03340000000007
673,16.31,16.308999999999966
1889,22.64,22.620299999999943
787,6.99,7.004599999999995
1646,22.04,22.054799999999986
1941,26.39,26.38880000000001
1441,50.57,50.582400000000014
650,9.57,9.568400000000015
854,5.58,5.6200000000000045
1615,26.24,26.244099999999985
2297,25.49,25.497499999999995
427,37.53,37.51370000000003
1562,32.8,32.81020000000003
766,10.35,10.35710000000001
1904,22.37,22.383200000000052
69,45.52,45.47510000000001
2025,27.39,27.38750000000003
2146,34.92,34.91860000000002
1243,33.07,33.06839999999999
399,29.14,29.131800000000045
473,26.28,26.277200000000015
1375,50.94,50.92239999999999
397,31.14,31.136800000000004
597,14.24,14.233100000000011
1858,23.17,23.16450000000002
688,17.22,17.230500000000017
2221,28.96,28.95279999999998
2142,34.98,34.97400000000002
1869,21.83,21.82769999999997
2229,28.13,28.105899999999988
1323,38.78,38.7616000000001
1504,30.96,30.97229999999995
1131,22.02,22.017
2437,31.71,31.7099
272,43.75,43.745999999999924
1057,29.73,29.726399999999966
983,7.64,7.6399999999999935
2021,29.13,29.12590000000003
1837,22.54,22.542899999999985
1158,27.83,27.82929999999997
901,8.32,8.309499999999982
1426,42.57,42.62280000000003
1868,21.81,21.80279999999998
1162,28.9,28.901200000000046
